source_file,company_name,sector,primary_subsector,additional_subsectors,level_3_category,confidence_explanation
kingdom_sons_junior_school_kiroba___luuka_2560893_0_KINGDOM_SCHOOLS_-_Adjusted.xlsm,JOVAN BALIKOWA,Education,Early childhood education,,Private educational institution with multiple revenue streams,"The business primarily operates in the education sector with both primary and secondary industries listed as education. The revenue streams indicate a focus on educational fees, which aligns with service costs rather than goods sold, confirming its classification as a service-oriented business."
kiryandongo_agro___input_center_limited_2560951_0_Financials_Halima.xlsm,KIRYANDONGO AGRO- INPUT CENTER LTD,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and products,"The presence of various agricultural products and inventory items such as herbicides, watering cans, and cabbages indicates a strong retail/trade classification. The Cost of Sales categories confirm that the business sells physical products, aligning it with the agri inputs sector."
kisa_enterprises_2560705_0_FINANCIALS.xlsm,Enter Name,Retail / Trade (textiles),Tailoring materials,,Retail of tailoring materials and accessories,"The presence of inventory items such as buttons, threads, and uniform material indicates a focus on physical products related to textiles. The Cost of Sales categories confirm that this is a retail/trade business selling tangible goods."
kisozi_general_hardware_2560760_0_Financials.xlsm,KISOZI GENERAL HARDWARE,Retail / Trade (hardware),Construction materials,,General hardware supplier,"The presence of inventory items such as cement, iron bars, and other construction materials, along with the Cost of Sales category indicating 'Cost of goods sold', strongly supports the classification as a retail/trade business focused on hardware."
kitemu_robert_2560945_0_Financials-_Kitemu_Robert_UPDATED.xlsm,KITEMU ROBERT,Retail / Trade (FMCG),General merchandise,,Wholesale FMCG distributor,"The business primarily engages in the sale of physical products, including energy drinks, alcoholic beverages, and food items, which aligns with the 'Cost of goods sold' categories indicating a retail/trade business. The presence of a diverse inventory further supports the classification as a wholesale FMCG distributor."
kondho_grace_2560891_0_Kondho_Financials_-_reviewed.xlsm,KONDHO GRACE,Retail / Trade (produce),Cereals/Grains,,Retailer of cereals and grains,"The business primarily deals with products such as rice, posho, and maize, which fall under the category of cereals/grains. The presence of inventory/products with 'Cost of goods sold' strongly indicates a retail/trade classification, confirming the choice of sector and sub-sector."
kotiokot_crane_primary_and_nursery_school_2560858_0_Kotiokot_Financials.xlsm,KOTIOKOT CRANE PRIMARY AND NURSERY SCHOOL,Education,Early childhood education,,Primary and nursery school,The business is classified under the education sector and specifically as an early childhood education provider due to its focus on primary and nursery schooling. The presence of operating costs related to educational services rather than physical products indicates a service-oriented business rather than retail/trade.
kyaggwe_agro_produce_centre_25601055_0_KYAGGWE_AGRO_PRODUCE_CENTRE_Financials_new_Edit.xlsm,KYAGGWE AGRO PRODUCE CENTRE,Retail / Trade (agri inputs),Seeds,,General store specializing in agricultural inputs,"The presence of inventory/products related to agricultural inputs and the classification of Cost of Sales categories as 'Purchases' indicate a retail/trade business focused on selling physical products, specifically in the agricultural sector."
labor_of_love_medical_clinic_2560722_0_Labor_of_love_financials.xlsm,Labor of love medical center,Healthcare,Healthcare (clinic),Healthcare (pharmacy),Clinic and retail pharmacy,"The presence of inventory/products and the Cost of Sales categories indicating purchases suggest a retail/trade classification, specifically in the healthcare sector, which includes both clinic services and pharmacy retail."
labu_fred_2560688_0_Financials_for_Labu_FRED_4.xlsm,LABU FRES,Retail / Trade (produce),Cereals/Grains,,Retailer of beans and maize,"The business primarily sells physical products (beans and maize) and has cost of sales categorized as 'Cost of items', indicating a retail/trade classification. This aligns with the produce sector focused on cereals/grains."
lango_one_electronics_2560692_0_Financials_Lango_1.xlsm,LANGO ONE ELECTRONICS,Retail / Trade (electronics),Mobile phones,Retail / Trade (other),Electronics retail with additional household goods,"The presence of inventory/products such as speakers, radios, and generators indicates a strong retail/trade classification. The Cost of Sales categories align with a retail business model, confirming the focus on selling physical products."
letco_general_motors_lira_2560941_0_Letco_General_1.xlsm,LETCO GENERAL MOTORS,Retail / Trade (automobile),Service & repair,,Automobile parts and accessories retail,"The presence of inventory/products such as tyres, engine oil, and brake pads indicates a retail/trade business focused on automobile parts. The Cost of Sales categories confirm this classification as they relate to the sale of physical products rather than services."
lira_daylight_nursery_and_primary_school_25601058_0_Daylight_Final.xlsm,DYALIGHT NURSERY & PRIMARY SCHOOL,Education,Early childhood education,,Private nursery and primary school,"The business operates in the education sector, specifically focusing on early childhood and primary education. The revenue streams and operating costs indicate a service-oriented model rather than retail, as there are no physical products sold. This aligns with the classification of a private nursery and primary school."
lira_junior_primary_school_2560716_0_Financials_Lira_Jr-New.xlsm,Lira Junior Primary School,Education,Early childhood education,,Junior Primary School,"The business is classified under the education sector and specifically as an early childhood education provider due to its focus on primary schooling. The presence of fees collections and other educational service-related revenue streams indicates a service-oriented business rather than a retail/trade business, despite the mention of inventory. The Cost of Sales categories do not suggest a retail focus, reinforcing the classification as a service provider in education."
lokwang_peter_2560812_0_Financials_-Lokwang.xlsm,LOKWANG PETER,Retail / Trade (FMCG),General merchandise,Hotel/Restaurant,Mixed retail (food & accommodation services),"The presence of 'Cost of goods sold' categories indicates a retail/trade business selling physical products, specifically limestone, while also providing accommodation and restaurant services, justifying the mixed classification."
lopai_produce_stores_2560912_0_Client_Analysis_Model_v24.3_Okwere_Abdalla_1F.xlsm,LOPAI PRODUCE STORE,Retail / Trade (produce),Cereals/Grains,,Mixed retail (produce and timber),"The presence of inventory/products related to cereals/grains and timber, along with the Cost of Sales categories indicating purchases, strongly supports the classification as a retail/trade business focused on produce and timber."
lwasephine_general_entreprise_jinja_2560827_0_Client_Analysis_Model_v24-_Lwanga_1_1.xlsm,Lwasephine General Entreprise,Retail / Trade (FMCG),General merchandise,,Footwear and branded apparel retail,"The business primarily sells physical products, including various footwear brands and apparel, which aligns with the retail/trade classification. The presence of inventory/products categorized under 'Cost of goods sold' further supports the classification as a retail business."
m_and_k_mbale_millers_limited_2560875_0_M_AND_K_Mbale_Millers_Ltd_FINANCIALS_-Updated.xlsm,M AND K MBALE MILLERS LIMITED,Education,Early childhood education,,Retail of educational food products,"The presence of inventory/products such as maize flour, rice, and beans indicates a retail/trade business that sells physical products. The Cost of Sales categories suggest a focus on goods sold, reinforcing the classification as a retail business within the education sector."
magada_muhammed_25601097_0_Magada_financials.xlsm,MAGADA MUHAMMED,Retail / Trade (textiles),Clothing,,Boutique retail specializing in ladies' clothing and accessories,"The business primarily sells physical products such as ladies' dresses, bridal gowns, and shoes, which aligns with the retail/trade classification. The presence of inventory and the cost of goods sold categories further confirm this classification as a retail business."
maganda_jildha_25601009_0_Jildha_Financials.xlsm,Maganda Jildha,Retail / Trade (FMCG),General merchandise,,General merchandise with food and household products focus,"The presence of physical products such as soap, cooking oil, sugar, and diapers indicates a retail/trade business. The Cost of Sales categories confirm that these are goods sold, reinforcing the classification as a retail business focused on fast-moving consumer goods."
maggie_s_produce_2560670_0_Client_Analysis_Maggie.xlsm,MAGGIE PRODUCE,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and legumes,"The presence of inventory items such as simsim, green gram, white peas, maize, sunflower, groundnuts, and soya indicates a focus on agricultural produce. The classification as a retail/trade business is supported by the Cost of Sales categories, which align with the sale of physical products."
maggie_s_produce_2560670_1_Client_Analysis_Maggie.xlsm,MAGGIE PRODUCE,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and legumes,"The business sells physical products such as simsim, green gram, white peas, maize, sunflower, groundnuts, and soya, which fall under the Cost of goods sold category. This strongly indicates a retail/trade classification, specifically in the produce sector."
magie_s_vet_drugshop_2560830_0_Financials_Igayaza.xlsm,MAGIE'S VET DRUGSHOP,Agri primary production,Livestock farming,Retail trade,Veterinary drug retail and poultry supply,"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade business that sells physical products, specifically veterinary drugs and poultry supplies. This aligns with the primary industry of production and the secondary industry of agriculture."
maikut_group_2560700_0_maikut_financial_1_reviewed.xlsm,MAIKUT GROUP,Agri primary production,Livestock farming,,Cattle and livestock farming,"The classification is based on the primary industry being agriculture and the revenue stream being farm sales, which aligns with livestock farming. The absence of specified products or inventory suggests a focus on agricultural production rather than retail or service, reinforcing the classification."
maikut_group_2560700_1_AGRONOMIST_PROJECTIONS.xlsm,MAIKUT GROUP,Agri primary production,Livestock farming,,Mixed livestock farming operations,"The business is classified under agriculture with a focus on farm sales, indicating a primary production operation. The absence of specified products or inventory suggests a focus on livestock rather than retail or trade of goods, aligning with the livestock farming sub-sector."
mak_tic_enterprises_2560853_0_Mak-Tic_Enterprises-Financials.xlsm,MAK TIC ENTERPRISES,Retail / Trade,Retail / Trade (textiles),,Mixed retail (clothing & household items),"The presence of physical products such as clothing and household items in the inventory, along with the Cost of Sales categories indicating purchases, strongly supports the classification as a retail/trade business focused on textiles and general merchandise."
makula_farm_2560767_0_Makula_Financials.xlsm,Makula Farm,Agri primary production,Livestock farming,,Poultry and pig farming,"The business primarily engages in agriculture with a focus on livestock, specifically through revenue streams from sales of off layers and pigs. The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade classification, confirming the livestock farming focus."
makula_farm_2560767_1_Makula_Adjusted_Financials.xlsm,Makula Farm,Agri primary production,Livestock farming,,Mixed livestock and crop production,"The business primarily operates in agriculture with revenue streams from sales related to pigs and off layers, indicating a focus on livestock farming. The presence of inventory/products categorized under 'Cost of goods sold' supports the classification as a retail/trade business within the agriculture sector."
malcom_pharma_ceutical_kakumiro_ltd_25601110_0_Malcom_FINANCIALS.xlsm,MALCOM PHARMA CUETICALS KAKUMIRO LTD,Healthcare,Retail pharmacy,,Pharmaceutical wholesale and retail,"The presence of inventory/products and the Cost of Sales categories indicating purchases for both wholesale and retail strongly suggest that this business operates in the retail/trade space, specifically within the pharmaceutical sector."
malomo_silver_2560789_0_malomo_Financials.xlsm,SILVER MALOMO,Retail / Trade (hardware),Construction materials,,Mixed retail of hardware and scrap materials,"The business primarily engages in the trade of physical products, including various metals and construction materials, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory related to hardware and scrap further supports this classification."
mama_vicky_general_hardware_25601030_0_Financials-Mama_Vicky.xlsm,MAMA VICKY GENERAL HARDWARE,Retail / Trade (hardware),Construction materials,,General hardware and engine oil retail,"The business primarily sells hardware products and engine oils, which are categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification, specifically within the hardware sector."
mandela_s_s_s__hoima_limited_2560815_0_Mandela.xlsm,MANDELA SECONDARY SCHOOL HOIMA LTD,Education,Secondary education,,Secondary School,"The business is classified under the Education sector and specifically as a Secondary education provider due to its focus on tuition and admission fees. The presence of operating costs related to staff and academic activities further supports this classification, indicating a service-oriented business rather than a retail/trade business."
mandela_s_s_s__hoima_limited_2560815_1_Mandela_Financials-New.xlsm,MANDELA SECONDARY SCHOOL HOIMA LTD,Education,Early childhood education,,Secondary School,"The business is classified under the Education sector and Early childhood education sub-sector due to its primary focus on providing educational services. The presence of revenue streams such as tuition fees and admission fees, along with operating costs primarily related to service delivery, indicates that it operates as a service business rather than a retail/trade business."
mangeni_ivan_enterprises_2560733_0_Financials.xlsm,MANGENYI IVAN ENTERPRISES,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household supplies),"The presence of various physical products such as sugar, cooking oil, soap, and household items indicates a retail/trade business. The Cost of Sales categories align with 'Cost of goods sold', confirming the classification as a retail business focused on general merchandise."
margherita__primary_school_25601120_0_Margherita_Primary_school-Financials.xlsm,Margherita Primary School,Education,Early childhood education,,Primary School,"The business is classified under the Education sector and Early childhood education sub-sector due to its focus on tuition and fees as revenue streams, indicating a service-oriented model. The absence of inventory and the nature of operating costs further support the classification as a service business rather than retail."
mass_plumbing___tiles_hardware_lira_2560870_0_Mass_plumbing_financials.xlsm,MASS PLUMBING AND TILES -LIRA,Retail / Trade (hardware),Construction materials,,Plumbing and tile retail,"The business sells physical products related to plumbing and tiles, as indicated by the inventory items and the Cost of Sales categories, which confirm it operates as a retail/trade business."
mastula_tikabula_25601036_0_Client_Analysis_Model_v24.3_-_MASTULA.xlsm,TIKABULA MASTULA,Retail / Trade (textiles),Fabrics,,Retailer of textiles and home fabrics,"The business primarily sells physical products such as various types of fabrics and home textiles, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories further supports this classification."
mateke_investments__smc_limited_2560825_0_Financials_Mateke_1.xlsm,MATEKE INVESTMENTS-SMC LTD,Retail / Trade (automobile),Service & repair,,Motorcycle spare parts and accessories retail,"The business primarily sells physical products related to motorcycles, including spare parts and accessories, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories further supports this classification."
matex_supermarket_2560678_0_Financials_Matex_Final.xlsm,MATEX SUPERMARKET,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household supplies),"The business sells a variety of physical products including food items and household supplies, which aligns with the Cost of Goods Sold category indicating a retail/trade business. The presence of diverse inventory such as milk, bread, and cooking oil further supports the classification as a general merchandise retailer."
mauditek_group_of_companies_2560703_0_FINANCIALS.xlsm,MAUDITEK GROUP OF COMPANIES,Real estate,Property development,,Real estate development company,"The business operates primarily in the real estate sector with a focus on property development. The absence of inventory/products and the presence of contract revenue suggest a service-oriented business model rather than retail, aligning with the classification as a real estate development company."
maxi_agro_inputs_apac_2560926_0_FINANCIALS_-MAXI.xlsm,MXI AGRO INPUT APAC,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and products,"The business primarily engages in the trade of agricultural products, as indicated by the presence of inventory items such as fertilizers and pesticides. The Cost of Sales categories confirm that it operates as a retail business selling physical products, aligning with the 'Retail / Trade (agri inputs)' sector."
mbale_creatives_limited_2560799_0_Financials-Mbale_creatives.xlsm,MBALE CREATIVES LIMITED,Retail / Trade (FMCG),General merchandise,,Retail trade of alcoholic and non-alcoholic beverages,"The presence of inventory/products such as various alcoholic beverages and soft drinks indicates a retail/trade business focused on fast-moving consumer goods (FMCG). The Cost of Sales categories confirm that the business sells physical products, reinforcing the classification as a retail business."
mbale_high_school_2560796_0_Mbale_High_Finacials.xlsm,MBALE HIGH SCHOOL,Education,Early childhood education,,Secondary School,"The business is classified under the Education sector as it primarily provides educational services. The presence of operating costs related to salaries and administration, rather than cost of goods sold, indicates that it operates as a service business rather than a retail/trade business."
mbale_parents_clinic___lab_2560849_0_Financials_for_Mbale_parents_clinic.xlsm,MBALE PARENTS CLINIC &LABORATORY,Healthcare,Healthcare (clinic),Healthcare (pharmacy),General medical practice with pharmacy services,"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade aspect, specifically in pharmaceuticals, while the primary focus on healthcare services aligns with a clinic classification."
mbulankoko_moses_2560886_0_Financials-_Moses_Mbulankonko_Final.xlsm,MOSES MBULANKOKO,Retail / Trade (other),Variety shops,,Mixed retail (footwear and fashion),"The business primarily sells physical products, including various footwear brands and styles, which aligns with the retail/trade classification. The presence of inventory and the cost of goods sold categories strongly indicate a retail business model, specifically in the variety shop segment."
miyingo_steven_2560800_0_M._Steven_Financials1.xlsm,MIYINGO STEPHEN,Retail / Trade (other),Variety shops,,Retailer of various bags and luggage,"The business primarily sells physical products, specifically various types of bags, which aligns with the retail/trade classification. The presence of inventory and the cost of sales categories indicate a retail business model focused on selling goods."
mk_farmers_agro_inputs_2560996_0_MK_FARMERS_AGRO_INPUTS_Financials_Latest.xlsm,MK FARMERS AGRIO INPUTS,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and seeds,"The business sells physical products related to agriculture, specifically agro inputs and seeds, which aligns with the Cost of Sales categories indicating a retail/trade classification."
moons_vocational_secondary_school_2560885_0_Adjusted_financials_for_Moons.xlsm,MOONS VOCATIONAL SECONDARY SCHOOL,Education,Vocational education,,Vocational Secondary School,"The business is classified under the Education sector and specifically as a Vocational education institution due to its focus on secondary education. The presence of operating costs related to administrative expenses and salaries indicates a service-oriented business rather than a retail/trade business, aligning with the classification of a school."
mubezi_general_enterprises_2560723_0_MUBEZI_FINANCIALS.xlsm,MUBEZI ENTERPRISES,Retail / Trade (textiles),Fabrics,Real estate,Textile retail with real estate rental income,"The presence of inventory/products categorized under 'Cost of goods sold' strongly indicates a retail/trade classification, specifically in textiles. Additionally, the business has a secondary revenue stream from real estate, justifying the inclusion of that sector."
mugumbya_paul_2560833_0_Mugumbya_Paul-Financials_final2.xlsm,PAUL MUGUMBYA,Retail / Trade (FMCG),General merchandise,,General merchandise with food and household products focus,"The presence of inventory/products such as sugar, cooking oil, soap, and other household items indicates a retail/trade business selling physical goods. The Cost of Sales categories confirm this classification as they relate to purchases of goods sold, aligning with the FMCG sector."
mugume_innocent_2560801_0_Financials_Innocent.xlsm,MUGUME INNOCENT,Retail / Trade (FMCG),General merchandise,Retail / Trade (hardware),"Mixed retail (food, hardware & carpentry supplies)","The presence of various physical products in the inventory, along with the Cost of Sales categories indicating retail operations, strongly supports the classification as a retail/trade business focused on fast-moving consumer goods and hardware."
mujuni_experts_2560813_0_Financials_Isaac.xlsm,MUJUNI EXPERTS,Retail / Trade (textiles),Tailoring materials,,Retail shop specializing in tailoring materials and clothing,"The presence of inventory items such as shirts, ties, and tailoring materials indicates a focus on textiles. The Cost of Sales categories confirm that the business operates as a retail/trade entity selling physical products."
mukhwana_franco_25601084_0_MAKHWANA_FRANCO_REVISED.xlsm,MUKHWANA FRANCO,Retail / Trade (FMCG),General merchandise,,Retailer of personal care and petroleum products,"The business sells physical products such as petroleum and various personal care items, which aligns with the 'Cost of goods sold' category indicating a retail/trade classification. The presence of a diverse inventory further supports the classification under FMCG."
munaba_cissy_nakawala_25601019_0_MUNABA_CISSY_NAKAWALA_Financials_new_final.xlsm,MUNABA CISSY NAKAWALA,Retail / Trade (textiles),Clothing,,Men's footwear retail and wholesale,"The business primarily sells physical products, specifically men's shoes, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories confirms that this is a retail business focused on clothing, particularly footwear."
muruye_shopping_centre_mbale_25601129_0_MURUYE_SHOPPERS_FINANCIALS.xlsm,Muruye shopping centre,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household supplies),"The business primarily sells physical products such as food items and household goods, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of a diverse inventory further supports the classification as a general merchandise retailer."
mutagwenda_family_supermarket_25601119_0_Financials_for_Mutagwenda_Supermarket.xlsm,Mutagwenda Family Supermarket,Retail / Trade (FMCG),General merchandise,,Supermarket offering a variety of food and household products,"The business sells physical products such as sugar, bread, and cooking oil, which aligns with the Cost of Goods Sold category indicating a retail/trade business. The presence of a diverse inventory further supports the classification as a general merchandise supermarket."
muweitwe_jenifer_25601080_0_Client_Analysis_Model_v24.3_-_JENNIPHER.xlsm,KANAKULYA JOSEPH,Retail / Trade (FMCG),General merchandise,,General merchandise with food products focus,"The presence of inventory items such as sugar, salt, and wheat flour indicates a retail/trade business selling physical products. The Cost of Sales categories confirm this classification as they relate to goods sold, further supporting the FMCG sector classification."
muyombya_joseph_2560865_0_Client_Analysis_Model_MUYOMBYA_JOSEPH_2.xlsm,MUYOMBYA JOSEPH,Retail / Trade (textiles),Clothing,,Retail clothing store specializing in suits and formal wear,"The presence of inventory items such as adult suits, shirts, and blazers indicates a retail business focused on clothing. The Cost of Sales categories confirm that the business sells physical products, aligning it with the retail/trade classification."
mwesigwa_godfrey_general_store_25601029_0_Mwesigwa_financials.xlsm,MWESIGWA GODFREY GENERAL STORE,Retail / Trade (FMCG),General merchandise,,General merchandise with food products focus,"The business sells physical products such as rice, soap, sugar, and cooking oil, which are categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification, specifically within the FMCG sector."
mwondha_bosco_25601083_0_Mwondha_Financials.xlsm,MWONDHA BOSCO,Retail / Trade (electronics),Mobile phones,,Retail of solar products and electronics,"The presence of inventory items such as solar panels, batteries, and various electronic devices indicates a retail/trade business focused on selling physical products. The Cost of Sales categories confirm this classification as they relate to goods sold, aligning with the retail sector."
nabirye_aisha_25601006_0_AISHA_NABIRYE_Financials_Final_v2.xlsm,NABIRYE AISHA,Retail / Trade (textiles),Clothing,,Clothing retail specializing in T-shirts and trousers,"The business primarily sells physical products such as T-shirts and trousers, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories further supports this classification as a retail business."
nabuduwa_sylvia_2560955_0_Financials-_NALONGO_NABUDUWA_SYLIVIA_1.xlsm,NALONGO NABUDUWA SYLIVIA,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household products),"The business primarily engages in the sale of various physical products, including food items and household goods, as indicated by the Cost of Sales categories related to wholesale and specific product sales. This strongly supports the classification as a retail/trade business in the FMCG sector."
nadunga_florence_25601131_0_Financials-_NADUNGA_FLORENCE.xlsm,NADUNGA FLORENCE,Retail / Trade (produce),Cereals/Grains,,Retail shop specializing in cereals and grains,"The business primarily engages in the sale of physical products such as Gnuts, Posho, Sugar, Beans, Rice, and other food items, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory and the nature of the revenue streams further support this classification."
naigaga_hasfah_entreprises_25601035_0_Client_Analysis_Model_v24.3_-_NAIGAGA_2.xlsm,NAIGAGA HASFAH,Retail / Trade (produce),Cereals/Grains,,Retailer of cereals and grains,"The business primarily sells physical products such as rice, millet, and maize, which fall under the Cost of goods sold category, indicating a retail/trade classification focused on agricultural produce."
nakidde_prossy_25601056_0_NAKIDDE_PROSSY_Financials_new_edit.xlsm,NAKIDDE PROSSY,Retail / Trade (other),Variety shops,,Footwear retail,"The business primarily sells physical products, specifically various types of footwear, which aligns with the retail/trade classification. The presence of inventory/products categorized under 'Cost of goods sold' further supports this classification as a retail business."
nalongo_skies_1987_ltd_25601124_0_Financials_Skies_couches.xlsm,NALONGO SKIES 1987 LTD,Transport / Logistics (non agri),Passenger services,,Public transport services,"The business operates in the transport/logistics industry with a focus on transport as its revenue stream. The operating costs suggest a service-oriented business model, particularly in passenger services, as there are no products or inventory specified. The classification aligns with the absence of 'Cost of goods sold' categories, indicating a service rather than retail/trade classification."
nambozo_sarah_annet_25601073_0_Client_Analysis_Model_v24.3_NAMBOZO_FINAL.xlsm,NAMBOZO SARAH ANNET,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household supplies),"The presence of inventory/products such as juice, soda, wheat, and cooking oil indicates a retail/trade business selling physical goods. The Cost of Sales categories confirm this classification as they relate to goods sold, further supporting the FMCG sector."
namugosa_monic_2560804_0_Client_Analysis_Model_v24-_NAMUKOSE_MONICA.xlsm,NAMUKOSE MONICA,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household supplies),"The business primarily sells physical products such as sugar, cooking oil, and other household items, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of diverse inventory further supports the classification as general merchandise."
nancy_adoi_25601065_0_NANCY_ADOI_1.xlsm,NANCY ADOI,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and legumes,"The business primarily deals with physical products such as maize, soya bean, and other grains, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory and the nature of the products strongly support the classification in the produce sector."
nankola_brenda_25601126_0_Client_Analysis_Model_NANKOLA_BRENDA.xlsm,NANKOOLA BRENDA,Retail / Trade (textiles),Clothing,,Retailer of traditional and casual attire,"The business primarily sells physical products such as Bridal Gomesi, Casual Gomesi, Kanzu, and Tshirts, which fall under the textiles sector. The presence of inventory and the classification of cost of sales as 'Purchases' strongly indicate a retail/trade business."
nantongo_veronica_2560954_0_Nantongo_Veronica_Financials_Final_updated.xlsm,NANTOGO VERONICA,Retail / Trade (textiles),Clothing,,Clothing retail specializing in dresses and casual wear,"The business primarily sells physical products such as dresses, jeans, and t-shirts, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories confirms it operates as a retail business focused on clothing."
nawap_general_trading__u__ltd_2560991_0_NAWAP_GENERAL_TRADING-FIANANCIALS_FINAL_UPDATE.xlsm,NAWAP GENERAL TRADING,Retail / Trade (automobile),Service & repair,,Automobile retail and parts trading,"The presence of physical products such as motorcycles and various automobile parts indicates a retail/trade classification. The Cost of Sales categories confirm that the business is involved in selling goods rather than providing services, aligning it with the automobile retail sector."
new_walter_general_stores_2560736_0_NEW_FINANCIALS.xlsm,NEW WALTER GENERAL STORES,Retail / Trade (FMCG),General merchandise,,General merchandise with food and household products focus,"The presence of inventory items such as posho, wheat flour, soda, and cooking oil indicates a retail business selling physical products. The Cost of Sales categories confirm this classification as they align with a retail/trade business model."
nimaro_general_stores_lira_25601043_0_Ojom_financials.xlsm,Ojom Enterprise-Lira,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and seeds,"The business primarily deals with physical products such as maize, sunflower, soya bean, and other grains, which fall under the Cost of goods sold category. This strongly indicates a retail/trade classification focused on agricultural produce."
nope_general_enterprise_2560850_0_Financials_Nope_general_enterprise.xlsm,NOPE GENERAL ENTERPRISE,Retail / Trade (FMCG),General merchandise,,General merchandise with a focus on food and household items,"The business sells physical products such as cooking oil, soap, sugar, and rice, which are categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification, specifically within the FMCG sector."
nya_millers___ngora_2560759_0_OGWANG_G_WILLIAM_FINANCIALS.xlsm,NYA MILLERS - Ngora,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and cereals,"The presence of inventory/products such as maize, millet, and sorghum, along with the Cost of Sales categories indicating purchases, strongly suggests that NYA MILLERS operates primarily as a retail/trade business focused on selling physical agricultural products."
nyange_agricultural_inputs_2560946_0_Financials-Nyange_Agricultural_inputs.xlsm,NYANGE AGRICULTURAL INPUTS,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and fertilizers,"The business sells physical products related to agriculture, such as fertilizers and planting materials, which aligns with the 'Cost of goods sold' categories indicating a retail/trade classification."
nyerere_julius_2560735_0_Financials_Nyerere.xlsm,NYERERE JULIUS,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and cereals,"The business primarily deals with physical products such as maize, millet, soya, sunflower, simsim, and groundnuts, which fall under the Cost of goods sold category. This strongly indicates a retail/trade classification, specifically within the produce sector."
oasis_agribusiness_limited_2560979_0_Oasis_financials_V2.xlsm,Oasis Agribusiness Company Limited,Agriculture,Agri primary production,Trade/Retail,Agricultural trade and retail,"The business operates in the agriculture sector with a focus on trade/retail, indicated by the presence of sales as a revenue stream and the operating costs associated with trading activities. The classification as a retail/trade business is supported by the absence of specified products/inventory, suggesting a focus on trading agricultural goods rather than primary production."
ob_light_enterprises_25601135_0_Financials_Light.xlsm,OB Light Electronics,Retail / Trade (electronics),Mobile phones,,Retail electronics specializing in mobile devices and accessories,"The presence of inventory items such as smartphones, TVs, and various electronic accessories indicates a strong retail/trade classification. The Cost of Sales categories confirm that the business sells physical products, aligning it with the electronics retail sector."
obang_en_mar_bicycles_25601076_0_Client_Analysis_Model_v24.3_1.xlsm,Test,Retail / Trade (automobile),Service & repair,,Retail of bicycle parts and accessories,"The presence of inventory items such as tyres, tubes, and bicycle components indicates a retail/trade business focused on physical products. The Cost of Sales categories confirm this classification as they relate to goods sold, reinforcing the retail nature of the business."
obanga_amio_electronics_25601025_0_Financials_Felix.xlsm,OBANGA AMIO ELECTRONICS,Retail / Trade (electronics),Mobile phones,,Retail electronics store specializing in mobile phones and accessories,"The presence of inventory including mobile phones, batteries, and related electronic products, along with the Cost of Sales categories indicating retail sales, strongly supports the classification as a retail electronics business."
obanga_amio_phone_center_2560694_0_obanga_amio_phone_financials.xlsm,OBANGA AMIO PHONE CENTRE,Retail / Trade (electronics),Mobile phones,,Retail electronics and mobile phone accessories,"The business primarily sells physical products such as phones and accessories, which aligns with the retail/trade classification. The presence of inventory and cost of sales categories indicates a focus on retail, specifically in electronics."
obanga_amio_phone_dealers___electronics_25601094_0_Financials_Kitgum.xlsm,OBANGA AMIO PHONE DEALERS & ELECTRONICS,Retail / Trade (electronics),Mobile phones,,Mobile phone and electronics retailer,"The business sells physical products such as mobile phones and electronics, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory items like Itel and Infinix phones further supports this classification."
